champion,ban_count
Varus,3311
Vi,3096
Gwen,2968
Kalista,2633
Rumble,2485
Pantheon,2215
Jayce,2162
Poppy,2055
Azir,2027
Skarner,2001
Taliyah,1805
Yone,1803
Ambessa,1652
Ezreal,1404
Braum,1365
Naafiri,1295
Neeko,1259
Aurora,1236
Orianna,1223
Maokai,1222
Alistar,1206
Nautilus,1190
Sejuani,1178
Corki,1124
Nocturne,1122
Rell,1046
Rakan,1043
Xin Zhao,1019
Zyra,976
Miss Fortune,917
K'Sante,916
Kai'Sa,874
Viktor,850
Lucian,817
Ashe,801
Leona,797
Ahri,797
Sion,746
Renekton,743
Sylas,708
Jax,680
Akali,674
Wukong,666
Ivern,642
Galio,620
Viego,578
Xayah,574
Ryze,548
Trundle,537
Jhin,522
Renata Glasc,518
Karma,505
Gnar,493
Yorick,471
Tristana,461
Syndra,456
Lillia,445
Annie,432
Jarvan IV,405
Caitlyn,381
Hwei,370
Lulu,344
Ornn,330
Draven,316
Sivir,304
Mel,298
Nidalee,298
Fiora,291
Ziggs,281
Senna,272
Elise,261
Aatrox,244
Camille,229
Shen,216
Bard,200
Jinx,196
Olaf,195
LeBlanc,192
Kindred,184
Gragas,180
Pyke,175
Yunara,172
Lee Sin,171
Zoe,157
Smolder,131
Cassiopeia,130
Blitzcrank,124
Irelia,118
Darius,118
Zeri,116
Zed,104
Zac,102
Vladimir,99
Bel'Veth,99
Twisted Fate,99
Yasuo,89
Udyr,88
Seraphine,86
Aphelios,80
Dr. Mundo,78
Malphite,77
Cho'Gath,73
Amumu,66
Garen,64
Akshan,63
Kennen,60
Volibear,60
Karthus,58
Nami,56
Lux,53
Swain,50
Thresh,49
Sett,48
Fiddlesticks,44
Milio,43
Gangplank,42
Kayn,41
Xerath,39
Tahm Kench,36
Nunu & Willump,36
Riven,35
Rengar,35
Warwick,35
Rek'Sai,34
Urgot,32
Kog'Maw,29
Taric,28
Anivia,27
Talon,27
Janna,26
Mordekaiser,24
Aurelion Sol,23
Nilah,20
Twitch,20
Yuumi,19
Diana,19
Teemo,18
Master Yi,16
Soraka,14
Vayne,14
Tryndamere,14
Brand,13
Kha'Zix,13
Hecarim,12
Vel'Koz,11
Morgana,10
Vex,10
Evelynn,9
Shyvana,9
Graves,9
Heimerdinger,9
Kled,9
Qiyana,8
Kayle,8
Kassadin,8
Veigar,7
Lissandra,6
Quinn,6
Zilean,6
Fizz,5
Katarina,4
Shaco,4
Samira,4
Sona,4
Ekko,4
Malzahar,3
Nasus,2
Singed,1
Rammus,1
Illaoi,1
